Created At,Currency,Side,Price Per Unit,Total Quantity,Total Amount,source
"4/9/18","BTC","BUY","7039.72992","0.0405","285.10906176","Spot"
"4/10/18","XRP","BUY","0.486525629","213","103.629958977","Spot"
"4/10/18","BTC","SELL","6770.108608","0.0151869","102.81696241883519","Spot"
"4/10/18","XRP","SELL","0.486525629","0.213","0.103629958977","Spot"
"4/10/18","IOTA","SELL","0.991218601","0.068","0.06740286486800001","Spot"
"4/10/18","IOTA","BUY","0.991218601","68","67.40286486800001","Spot"
"4/10/18","BTC","SELL","6770.108608","0.00999056","67.63717625474048","Spot"
"4/10/18","BTC","SELL","6770.108608","0.00759732","51.43468152973056","Spot"
"4/10/18","ETH","BUY","398.6056772","0.129","51.420132358800004","Spot"
"4/10/18","ETH","SELL","398.6056772","0.000129","0.0514201323588","Spot"
"4/16/18","USDT","BUY","1.000107611","65.9028293","65.9099211693638","Spot"
"4/16/18","ETH","SELL","533.9654259","0.12887","68.81212443573301","Spot"
"4/16/18","USDT","SELL","1.000107611","0.06590283","0.06590992186943913","Spot"
"4/16/18","USDT","BUY","1.000107611","0.51770341","0.5177591205816535","Spot"
"4/18/18","USDT","SELL","1.000011718","16.5733436","16.573537806440306","Spot"
"4/18/18","ETH","BUY","503.6613111","0.03218","16.207820991198","Spot"
"4/18/18","ETH","SELL","503.6613111","0.00003218","0.016207820991198","Spot"
"4/18/18","USDT","SELL","1.000011718","37.3491","37.3495376567538","Spot"
"4/18/18","BTC","SELL","7898.116088","0.00000461","0.036410315165679996","Spot"
"4/18/18","BTC","BUY","7898.116088","0.004611","36.418213281768","Spot"
"4/18/18","XVG","BUY","No Data Available.","337","NaN","Spot"
"4/18/18","XVG","SELL","No Data Available.","0.337","NaN","Spot"
"4/18/18","BTC","SELL","7898.116088","0.00309029","24.407469165585518","Spot"
"4/18/18","GRS","BUY",,"13","NaN","Spot"
"4/18/18","GRS","SELL",,"0.013","NaN","Spot"
"4/18/18","BTC","SELL","7898.116088","0.002171","17.146810027048","Spot"
"4/18/18","BTC","SELL","7898.116088","0.00000153","0.012084117614639999","Spot"
"4/18/18","USDT","SELL","1.000011718","12.36471525","12.3648601397333","Spot"
"4/18/18","BTC","BUY","7898.116088","0.001525","12.044627034200001","Spot"
"4/18/18","BTC","BUY","7898.116088","0.000008","0.063184928704","Spot"
"4/18/18","BTC","SELL","7898.116088","1e-8","0.00007898116088","Spot"
"4/18/18","USDT","SELL","1.000011718","0.06486408","0.06486484007728945","Spot"
"4/18/18","XRP","SELL","0.655306979","0.051","0.033420655928999995","Spot"
"4/18/18","XRP","BUY","0.655306979","51","33.420655929","Spot"
"4/18/18","BTC","SELL","7898.116088","0.00424473","33.525370302216245","Spot"
"4/18/18","BTC","SELL","7898.116088","0.00108741","8.58849041525208","Spot"
"4/18/18","TRX","SELL","0.041980139","0.201","0.008438007939","Spot"
"4/18/18","TRX","BUY","0.041980139","201","8.438007939","Spot"
"4/18/18","BTC","BUY","7898.116088","0.00005979","0.47222836090152","Spot"
"4/18/18","BTC","BUY","7898.116088","0.00000412","0.03254023828256","Spot"
"4/18/18","XVG","BUY","No Data Available.","0.44","NaN","Spot"
"4/18/18","XVG","BUY","No Data Available.","0.4","NaN","Spot"
